ID,forests,bec,cum,min,var,biomass,height,cover
2688,220,7,3875.97705078125,0,1172.7916259765625,1575,6215,4008
2689,220,7,4647.21533203125,0,955.42449951171875,22566,19549,9889
2690,220,7,8149.09033203125,166.3936309814453,294.4551086425781,7222,11643,9445
2691,220,7,4662.81640625,0,967.51300048828125,17081,18048,9953
2692,220,7,5134.59130859375,0,834.51788330078125,4567,9835,8645
2693,220,7,5304.0048828125,0,770.55010986328125,12296,14468,8514
2694,220,7,4534.0478515625,0,995.47039794921875,22937,31453,7461
2695,220,7,4763.50830078125,0,1003.5449829101563,4689,12158,8346
2696,220,7,5688.64501953125,0,717.07122802734375,6902,12501,9128
2697,220,7,7250.9267578125,0,485.3248596191406,7222,11643,9445
2698,220,7,5493.25390625,0,776.42633056640625,2190,9410,1794
2699,220,7,5798.55224609375,59.76934814453125,681.095703125,7222,11643,9445
2700,220,7,8380.158203125,0,409.854248046875,6820,12750,7471
2701,220,7,6439.654296875,0,685.60858154296875,7373,12462,9468
2702,220,7,6458.7568359375,0,671.10711669921875,2288,7292,6187
2703,220,7,8971.28125,477.89453125,141.6039276123047,42480,32206,9679
2704,220,7,6924.73876953125,0,545.75347900390625,2572,7500,6676
2705,220,7,5155.427734375,0,843.3916015625,10653,14808,9531
2706,220,7,5529.423828125,0,663.90985107421875,11304,21322,5779
2707,220,7,6803.39013671875,0,501.8043212890625,4567,9835,8645
2708,220,7,7590.52978515625,16.52370834350586,501.1448059082031,14084,16595,9616
2709,220,7,6366.86865234375,0,663.82427978515625,2288,7292,6187
2710,220,7,5024.330078125,0,960.402099609375,5709,34733,9959
2711,220,7,4755.35595703125,0,884.90234375,22937,31453,7461
2712,220,7,4942.35302734375,0,752.20037841796875,2741,8305,4861
2713,220,7,5210.86474609375,0,833.24658203125,32083,22986,9318
2714,220,7,7991.02099609375,0,501.8047180175781,33444,27329,8824
2715,220,7,5027.47802734375,0,916.7958984375,22937,31453,7461
2716,220,7,5100.7705078125,9.981429100036621,921.01348876953125,2559,8505,4916
2717,220,7,7069.33056640625,0,525.26226806640625,12226,11775,8495
2718,220,7,5726.42138671875,0,700.67120361328125,4626,9335,9036
2719,220,7,4072.357421875,0,999.791259765625,22937,31453,7461
2720,220,7,4762.7802734375,0,1007.2861938476563,22566,19549,9889
2721,220,7,5272.54296875,0,699.7418212890625,9447,12614,9958
2722,220,7,5769.2607421875,0,690.28094482421875,9838,16964,5109
2723,220,7,6436.09765625,0,676.79888916015625,17118,16109,9891
2724,220,7,5189.51416015625,0,849.8197021484375,4567,9835,8645
2725,220,7,5242.138671875,0,877.51470947265625,22937,31453,7461
2726,220,7,4707.46826171875,0,984.90057373046875,13737,18501,9259
2727,220,7,8474.845703125,55.804161071777344,336.9228515625,5084,11508,7265
2728,220,7,9601.744140625,326.4448547363281,202.94483947753906,2288,7292,6187
2729,220,7,7634.2861328125,0,509.55780029296875,30103,25782,8808
2730,220,7,5576.15625,0,753.9398193359375,12226,11775,8495
2731,220,7,5559.68017578125,25.33432960510254,710.6190185546875,18670,18284,9831
2732,220,7,7921.1201171875,0,380.3742370605469,14084,16595,9616
2733,220,7,5255.60888671875,0,764.3209228515625,2807,8870,4493
2734,220,7,5663.32421875,0,840.55389404296875,7999,13631,8186
2735,220,7,4530.84619140625,0,1036.3614501953125,16925,26193,6528
2736,220,7,4373.65966796875,0,888.6278076171875,4626,9335,9036
